x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	
3.0303	0.82785	0.81	0.51585	3.0303	0.77145	0.75665	0.2525	3.0303	0.7063	0.7027	0.26075	3.0303	0.6385	0.634	0.26095	3.0303	0.5898	0.59105	0.25115	3.0303	0.78205	0.7297	0.05685	3.0303	0.76705	0.72745	0.0453	3.0303	0.8315	0.7313	0.0587	3.0303	0.85435	0.68265	0.08885	3.0303	0.84675	0.7893	0.11265	1.21212	0.982	0.9844	0.21835	1.21212	0.90915	0.9819	0.17525	1.21212	0.9609	0.9723	0.11725	1.21212	0.9386	0.9815	0.0841	1.21212	0.4952	0.9752	0.08495	
3.18182	0.8355	0.81835	0.55385	3.18182	0.78145	0.76735	0.26805	3.18182	0.7165	0.71635	0.2733	3.18182	0.6498	0.64505	0.28645	3.18182	0.60055	0.6051	0.26625	3.18182	0.78935	0.73785	0.0586	3.18182	0.78415	0.74255	0.0465	3.18182	0.8475	0.74815	0.06195	3.18182	0.8692	0.6999	0.0927	3.18182	0.87055	0.8011	0.1165	1.27273	0.983	0.98535	0.23105	1.27273	0.9191	0.98325	0.1836	1.27273	0.9674	0.9748	0.12445	1.27273	0.9529	0.9834	0.08895	1.27273	0.5143	0.97725	0.087	
3.33333	0.84105	0.8266	0.59015	3.33333	0.7884	0.77515	0.28585	3.33333	0.72745	0.72645	0.2865	3.33333	0.664	0.65465	0.30135	3.33333	0.6101	0.6185	0.28275	3.33333	0.7982	0.7459	0.06125	3.33333	0.79965	0.75395	0.0478	3.33333	0.86255	0.76255	0.06495	3.33333	0.88505	0.71395	0.09705	3.33333	0.8908	0.8118	0.12	1.33333	0.98385	0.9861	0.24275	1.33333	0.92765	0.98435	0.19255	1.33333	0.97165	0.97725	0.12985	1.33333	0.96355	0.985	0.0942	1.33333	0.53845	0.9792	0.0893	
3.48485	0.8472	0.8338	0.62215	3.48485	0.79585	0.7811	0.3069	3.48485	0.7368	0.73655	0.3022	3.48485	0.6693	0.66685	0.3164	3.48485	0.6208	0.62825	0.30025	3.48485	0.80715	0.75425	0.06385	3.48485	0.81345	0.76435	0.04925	3.48485	0.87505	0.7753	0.06845	3.48485	0.90105	0.72925	0.1011	3.48485	0.90655	0.8205	0.1258	1.39394	0.98485	0.98695	0.2522	1.39394	0.934	0.9855	0.19995	1.39394	0.97455	0.9794	0.13505	1.39394	0.9705	0.98635	0.10015	1.39394	0.55415	0.9807	0.09095	
3.63636	0.85355	0.8399	0.65105	3.63636	0.8052	0.787	0.33275	3.63636	0.74545	0.7443	0.31745	3.63636	0.67885	0.6817	0.33015	3.63636	0.6383	0.6374	0.31715	3.63636	0.8159	0.76165	0.06585	3.63636	0.8268	0.7735	0.05055	3.63636	0.8865	0.78765	0.07145	3.63636	0.9091	0.74555	0.10485	3.63636	0.92055	0.83295	0.1311	1.45455	0.9856	0.98765	0.2618	1.45455	0.93935	0.98685	0.20665	1.45455	0.9772	0.9812	0.1408	1.45455	0.97845	0.9877	0.1058	1.45455	0.573	0.9821	0.0926	
3.78788	0.85985	0.84595	0.677	3.78788	0.8102	0.79215	0.36045	3.78788	0.75475	0.75135	0.33495	3.78788	0.69505	0.69365	0.3448	3.78788	0.6461	0.65185	0.3326	3.78788	0.82315	0.76875	0.06855	3.78788	0.83725	0.7813	0.0519	3.78788	0.89615	0.79995	0.07605	3.78788	0.9156	0.75735	0.10875	3.78788	0.93625	0.84325	0.13515	1.51515	0.98625	0.9883	0.2714	1.51515	0.9444	0.988	0.21355	1.51515	0.9797	0.9831	0.14735	1.51515	0.9836	0.989	0.1096	1.51515	0.58845	0.9836	0.09695	
3.93939	0.8645	0.85155	0.7	3.93939	0.81455	0.79735	0.3879	3.93939	0.7677	0.75975	0.35405	3.93939	0.70525	0.70315	0.3594	3.93939	0.6605	0.66325	0.34635	3.93939	0.8298	0.77565	0.07155	3.93939	0.8472	0.78815	0.05325	3.93939	0.90815	0.81115	0.0796	3.93939	0.92395	0.7707	0.11175	3.93939	0.95145	0.854	0.13925	1.57576	0.98705	0.9889	0.28235	1.57576	0.9485	0.9895	0.22045	1.57576	0.98195	0.9847	0.153	1.57576	0.98625	0.9899	0.11375	1.57576	0.6038	0.985	0.0991	
4.09091	0.8707	0.8563	0.7216	4.09091	0.8186	0.8034	0.41715	4.09091	0.77425	0.7669	0.3748	4.09091	0.7194	0.71305	0.3754	4.09091	0.67625	0.67565	0.3627	4.09091	0.8355	0.78245	0.07415	4.09091	0.8578	0.79575	0.05475	4.09091	0.9176	0.8217	0.0828	4.09091	0.93325	0.78355	0.1151	4.09091	0.96165	0.86185	0.14595	1.63636	0.9877	0.9895	0.29255	1.63636	0.9522	0.9904	0.2274	1.63636	0.98425	0.9859	0.15875	1.63636	0.98805	0.99055	0.1175	1.63636	0.62265	0.98615	0.1027	
4.24242	0.8752	0.8604	0.7421	4.24242	0.8221	0.80915	0.4491	4.24242	0.78515	0.7744	0.3931	4.24242	0.7331	0.72215	0.3902	4.24242	0.6851	0.68525	0.37715	4.24242	0.84065	0.78845	0.07625	4.24242	0.86715	0.8026	0.0567	4.24242	0.92465	0.8332	0.0861	4.24242	0.93735	0.7958	0.11835	4.24242	0.97075	0.86885	0.1504	1.69697	0.98835	0.98995	0.30265	1.69697	0.9557	0.99125	0.23465	1.69697	0.9865	0.98675	0.1644	1.69697	0.98965	0.99135	0.12185	1.69697	0.65085	0.9872	0.10505	
4.39394	0.87945	0.8651	0.7593	4.39394	0.8251	0.8162	0.48385	4.39394	0.7929	0.78055	0.41325	4.39394	0.74435	0.7271	0.40605	4.39394	0.6965	0.6953	0.3861	4.39394	0.84645	0.7938	0.0795	4.39394	0.8767	0.8089	0.05855	4.39394	0.932	0.843	0.08925	4.39394	0.94325	0.8062	0.12195	4.39394	0.97825	0.87915	0.1555	1.75758	0.98895	0.99055	0.3126	1.75758	0.95885	0.9921	0.24215	1.75758	0.9883	0.98745	0.1703	1.75758	0.9929	0.99195	0.12635	1.75758	0.67415	0.98815	0.10735	
