x,y,z,1,2,3,4,5,6,7,8,9,10,11
80,25,55,0.040867143,0.040043473,0.027626333,0.030611191,0.029195572,0.062105843,0.053961428,0.032822267,0.075390894,0.085674276,0.045322635
85,25,50,0.026603247,0.024955908,0.012984415,0.016648091,0.013816853,0.048033216,0.040164636,0.018898975,0.059775921,0.070530608,0.02987434
85,25,55,0.041309129,0.03966179,0.027690298,0.031353974,0.028522736,0.062739098,0.054870519,0.033604857,0.074481803,0.085236491,0.044580222
90,25,50,0.027093839,0.024574224,0.0131476,0.017420412,0.0131476,0.048675762,0.041073727,0.019696477,0.05886683,0.070125347,0.029165669
90,25,55,0.041799722,0.039280107,0.027853483,0.032126294,0.027853483,0.063381644,0.05577961,0.034402359,0.073572712,0.08483123,0.043871551
95,25,50,0.027588194,0.024286115,0.013360853,0.018167552,0.012560743,0.049354189,0.041982818,0.020500488,0.057957739,0.069728937,0.028487242
95,25,55,0.042294076,0.038991998,0.028066735,0.032873434,0.027266625,0.064060072,0.056688701,0.03520637,0.071353327,0.084434819,0.043193124
100,25,50,0.02808631,0.023998945,0.013636364,0.018988065,0.01198995,0.050032616,0.042891909,0.02129799,0.057048648,0.069332527,0.027808815
100,25,55,0.03121131,0.027123945,0.016761364,0.022113065,0.01511495,0.053157616,0.046016909,0.02442299,0.056647445,0.072457527,0.030933815
55,30,50,0.023497811,0.026883548,0.012778794,0.012778794,0.018323993,0.043748179,0.034789826,0.01380413,0.065320484,0.072996166,0.034160341
50,30,50,0.023229763,0.027442489,0.013077423,0.012196734,0.019088465,0.04318165,0.033880735,0.013077423,0.066229575,0.073603388,0.034990368
55,30,55,0.038203693,0.04158943,0.027484676,0.027484676,0.033029876,0.05757983,0.047917364,0.027484676,0.080026366,0.087702049,0.048866224
50,30,55,0.023611446,0.028084316,0.01380413,0.012901381,0.019997555,0.042873948,0.033211482,0.012778794,0.067138666,0.074281815,0.035899458
60,30,50,0.023805512,0.026385431,0.012560743,0.013360853,0.017559522,0.044302067,0.035698917,0.014551271,0.064411393,0.072388945,0.033330315
60,30,55,0.038511395,0.041091313,0.027266625,0.028066735,0.032265404,0.059007949,0.050404799,0.029257153,0.079117275,0.087094827,0.048036197
65,30,50,0.024187196,0.025894839,0.01238379,0.014023638,0.01681674,0.044881239,0.036608008,0.015295791,0.063502302,0.071781723,0.032500289
65,30,55,0.038893078,0.040600721,0.027089672,0.02872952,0.031522622,0.059587122,0.05131389,0.030001674,0.078208185,0.086487606,0.047206171
